Date,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BIIB,BK,BKNG,BLK,BMY,BRK-B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DHR,DIS,DOW,DUK,EMR,EXC,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,ISRG,JNJ,JPM,KHC,KMI,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WBA,WFC,WMT,XOM
2020-07-13,4.530562340101453,4.378718020880495,4.444961907059425,5.299776034230537,6.092372668298359,3.269672902410534,3.981362486354079,5.365923891351265,5.406163362007288,5.04471458808573,3.318470704820887,4.475189176229652,5.168493343963668,3.062741838544084,5.622283111346381,3.508925925676964,7.417966260769441,6.193149458359475,3.867646715528532,5.215642056397417,3.7666242496075326,4.769809900461689,6.279983823937997,4.180281238545222,3.5681814886353034,4.033916572689957,3.4953861054549176,5.694950660689235,5.229524446949606,3.6764644490407554,3.9778518495559663,4.228095530144127,5.0653083787720234,4.738951677035103,3.4486769746804007,4.199432404294289,3.9987025758705377,3.1071832515715774,1.5504669528148882,4.96162713436576,4.846477844648713,3.4854415030518626,4.139490629508758,3.182035984902457,4.319093168333665,4.319629069565214,5.221788547054151,5.399552908220331,4.865127828083143,4.513676315571699,3.9554797583439716,5.664578192032001,5.249284634509249,4.836227652007483,4.447206206865129,3.2562197809485167,2.342553482330239,3.660551235755363,5.3500590162198804,5.029394793334864,5.7310293442660205,4.8276225805397335,5.6423417978097925,5.105632481031377,3.8249182957806025,4.393066996952051,3.45825640710309,5.470992478500733,4.670122301660249,3.298514022403205,4.145943843878906,3.7555144556424764,5.290238863663935,4.036701362385112,6.264350190317006,4.505203912080191,2.304505949756207,3.9670779461083017,4.755603507052802,3.2794390506133544,4.6975404655763695,4.04372871593777,5.144641541915745,4.407902126993804,3.9624165268552543,4.176699587478937,3.470152495410468,3.778804412648972,3.878147866893667,2.762808145906981,4.652284257869226,5.9248918947254205,4.623356919113043,4.603208271236253,4.7184094943937325,5.626607042864257,5.021354815175059,4.551180726417332,3.391486932796518,5.2063116270679615,3.7041459508955166,3.4242820633856756,3.122408481667859,3.693887416382927,3.5261201698055236
2020-07-14,4.546975028501404,4.401117099915404,4.467250516837473,5.315504031154434,6.072537490320355,3.3050427419065906,4.002229295622466,5.378048206372593,5.417856062279388,5.038250441338322,3.3305079839101808,4.488777803561102,5.1927346412805235,3.0606726280654373,5.639315023041743,3.5117527774459503,7.423564800362603,6.208896321632588,3.870067880907778,5.245496625754613,3.7265605960236714,4.817005039217599,6.2970172571457,4.199026289205402,3.5838450418948145,4.019518386634084,3.5361476610910874,5.710559083073048,5.235981252315275,3.68362350881849,3.994951746945646,4.262055468718838,5.08183663549057,4.75972902051112,3.477359890427082,4.202743175165174,4.0192043187871604,3.1178017128764814,1.5987854823684906,4.976052231621453,4.850251749630225,3.5119524468196315,4.14611959721803,3.212929530748871,4.325188390970058,4.325319610802933,5.246051453838483,5.4317585565875826,4.8967499108929795,4.525352774385312,3.9622847773787244,5.622479869233898,5.273580553990993,4.854718155639407,4.452924555838666,3.2805295441650384,2.36760686121574,3.6741594465614575,5.381916996762667,5.040439786976603,5.73836649874399,4.853002538909801,5.672116728210159,5.1365153430976385,3.8478855269091077,4.41312995516124,3.471005824885428,5.474042200524855,4.693995344225933,3.319432753270514,4.157512071587587,3.7610744002097163,5.2964013934493135,4.061028460937806,6.263169674339344,4.50830938136849,2.3363010583222454,3.9746240018582277,4.7601148794651165,3.2800067666677797,4.705889170937318,4.054688588951603,5.149237161245769,4.419333271768157,3.9811119619797695,4.177800346469992,3.473631945389315,3.7881627141591556,3.850124875595772,2.7695062308031835,4.663590446966129,5.947153096597913,4.631646336582638,4.616307957560157,4.741961544636461,5.6555786711365315,5.037305573004581,4.564887428352279,3.3767164353463675,5.228857576117437,3.7221643574440617,3.4375838947825565,3.075682250440781,3.712929595602365,3.558637779925193
2020-07-15,4.553828945729733,4.417270109867447,4.487193631089268,5.321895168633996,6.070760844976919,3.3363752781096903,4.01349597711606,5.3789171465294805,5.411385596731575,5.013587576512697,3.326373398651497,4.5150018089856365,5.236122775945268,3.07954877402851,5.645305514698886,3.4560871349151356,7.482576445078485,6.22174686333794,3.8936265987180105,5.249967092795244,3.759703901737048,4.8277593233894,6.313566179746061,4.19688651136714,3.602608790332847,4.067774815394688,3.543623296322679,5.706587882334519,5.228196152466707,3.6866453624882656,4.008672148816461,4.268148924779091,5.097300219612575,4.778430452701008,3.4981136457338518,4.187199110281216,4.04370450537759,3.1225436615297437,1.6568168240062189,4.993253556102934,4.86705978948204,3.549047080410283,4.139099304066638,3.2601583822584055,4.320613818316761,4.322699121992175,5.259465231701659,5.431797144986566,4.922281908172996,4.545057970825179,3.963132139792874,5.638471085488617,5.311233621940524,4.857014123576766,4.468283036571236,3.275714566850316,2.3953959529245106,3.6856477668861434,5.401035508711848,5.049974353674307,5.763082306948931,4.861250545605159,5.694510085742077,5.1420055269040965,3.8425735194373125,4.439303175293437,3.490606650537465,5.476333811886451,4.6989657555485955,3.317970573871485,4.172605334633914,3.7777658158550773,5.294912299147038,4.047415048856654,6.2600784911299945,4.5265381878129265,2.32176490795074,3.964432391231435,4.746519374305641,3.2938195421372076,4.701161577363024,4.06393131357341,5.1478432390039295,4.421171564527309,4.021146147874764,4.216634817843616,3.5052543289275637,3.7757914374058346,3.922674616930625,2.771173720608993,4.676744875927117,5.960586343039211,4.627176624490737,4.635382458232164,4.743930982534269,5.64104961399877,5.05174494255265,4.597976403923437,3.413241437200671,5.245375809324976,3.7152866514845244,3.451694648422215,3.1200442927669565,3.7128540876847285,3.571264680133893
2020-07-16,4.5414476567083835,4.41168118863963,4.483776226708064,5.318932792335473,6.05511988588196,3.3609372745628714,4.005877547559371,5.386350433145657,5.412201753311658,5.010601927654186,3.31856690298725,4.504262429243194,5.185708405087834,3.0519353701125485,5.633145425624557,3.4528267929315453,7.452936472435781,6.218875773362691,3.8944699455661107,5.2523257539385275,3.7523468726033284,4.829204026912027,6.324412776877505,4.200761800845635,3.6068896345974064,4.062737153593841,3.54290248819212,5.705270929345985,5.214384381874436,3.6731931960670736,4.015000664194525,4.26216911447203,5.099792550226319,4.766197150703756,3.5095869811573355,4.1951245961479735,4.0359738435465475,3.122806491623362,1.674464595651173,5.022887905917666,4.885545085494194,3.5363617360600257,4.1389689498221065,3.259041769273695,4.323490166039546,4.321406310343101,5.249130696626047,5.432882617866983,4.929822814923538,4.553235736654588,3.9649938279828407,5.623635908575786,5.305375756167926,4.863669451711041,4.471086621553028,3.31272863051877,2.397399239149488,3.6802454866987335,5.406323967770107,5.047250699407044,5.766696618888572,4.872026860978101,5.673453928402447,5.137563755973369,3.8514743981022974,4.424684711118302,3.492933283426212,5.479035274597991,4.706282164538332,3.3296098093721884,4.172101475111142,3.8025772624563876,5.274909464176359,4.082991011649566,6.267940340574304,4.51346343796398,2.312679352214567,3.9502023510694353,4.747939553798284,3.290454563171256,4.703247737253468,4.068587021860898,5.134680150580928,4.406477682623973,4.012048667834867,4.20036777633761,3.4842841575100403,3.7892795959271863,3.8656664925159845,2.7837567153613416,4.679043412268403,5.959873031500036,4.6230700133040346,4.605596730747127,4.744157809995309,5.6511280269690625,5.065865778942718,4.602412557266618,3.411114009159979,5.229736424758921,3.728278470127595,3.468030312428071,3.1243742246304675,3.7143679981399798,3.5633915577598314
2020-07-17,4.539425534121367,4.4207475159301035,4.512911802232988,5.331766250273971,6.069397369216933,3.3473316832569835,4.008060210258942,5.399044215642363,5.418512245602215,4.9978775624334855,3.322957706649567,4.492356187543016,5.168550329336685,3.0218163751177314,5.641481465781131,3.43580737255496,7.444543145373786,6.25483761277323,3.9123470495998496,5.251016064633818,3.7279554183741967,4.824612437929214,6.336223732538326,4.209576921089476,3.6078384267951593,4.0408773399528775,3.513071519142854,5.700724520184243,5.226546619731829,3.6941600960199166,4.020677589193176,4.248839268558812,5.111063193187277,4.759644692074953,3.505929724596936,4.211396943645887,4.04213156992555,3.157408510477757,1.6656795947280931,5.022164945988638,4.888234641898728,3.539194382168178,4.15025665515182,3.2440320482957237,4.321874738791473,4.322679388470613,5.233827835095868,5.441755087846611,4.942287552254411,4.562066945570585,3.9794308506724656,5.636053757402757,5.379497873197176,4.864339090057751,4.452415460785652,3.330305577649827,2.392718356119604,3.694658677841455,5.421734659970054,5.05305191496134,5.773831943780206,4.883449402283093,5.689065331835685,5.140492405849796,3.8707076011611585,4.453812297124795,3.486197334713236,5.483590571849597,4.702099122148747,3.331055353792528,4.178003395100836,3.798198408603131,5.269796426572573,4.108739046226641,6.200488870052336,4.503336193583337,2.3192441487699167,3.93358348501358,4.753748685793869,3.308548249598996,4.710196898075935,4.064331168551038,5.158595412844756,4.417708150726386,4.009319500773931,4.197271240814319,3.440977390632878,3.804789840375272,3.8576856119970695,2.779139110450204,4.676744875927117,5.967438206878384,4.6312666633564055,4.605730026806565,4.757011901636025,5.649107475048422,5.090327786455173,4.5924246634666765,3.36952612280538,5.2379199175266775,3.7375578050721714,3.4697220547755445,3.10413947201587,3.710882254235298,3.5460788994321253
2020-07-20,4.560280455763837,4.407870901554213,4.511197741692769,5.338457072698446,6.12089062541683,3.3249791828364796,4.051089037617845,5.408631990467952,5.423977687775503,5.074185797550424,3.3369932094631576,4.479881012753736,5.161466173300877,3.037201275516657,5.646859305719827,3.4308112300750633,7.433782254972873,6.240925367106346,3.896827183656341,5.249547179748636,3.7263608224605993,4.807892151400916,6.337727996134488,4.196189766391517,3.6023704852423566,4.022151630801484,3.4971803401752886,5.706006460539967,5.264736566312022,3.6988550334119448,3.9982431873949285,4.226571972656187,5.123656939967718,4.752370125187031,3.4740555049561386,4.195494489330305,4.023383073479911,3.1296146044246367,1.6448765461503978,5.010956694264604,4.864725003219837,3.51049818326923,4.157583453997511,3.22725704696841,4.354442188070521,4.353188028198774,5.2352461928086855,5.440948352915515,4.93184586127891,4.572087669475921,3.9984161913465264,5.668200308110085,5.404987037705105,4.86601187327818,4.443615595622498,3.3045555966708995,2.3641645487643133,3.6795950010632685,5.412292161789202,5.05953851223571,5.765739407846895,4.881439147506254,5.714715532368367,5.141170960010752,3.8586133277011307,4.42447587506778,3.468098460484448,5.497499923865216,4.680213351510485,3.3147944371491387,4.172227581423636,3.7876487764600673,5.3118796146549885,4.104918747658854,6.219416526703582,4.496771357750894,2.3491076662067893,3.942649796831311,4.742171655661417,3.315421272686943,4.7070876703093445,4.035394508881995,5.186379754265782,4.42784837766192,3.996537230771652,4.208000917206404,3.452868091366419,3.7989095313365477,3.8254403085147377,2.765827852304264,4.661422902807419,5.9864025471822835,4.6387374125776395,4.696228912291483,4.7769040196082155,5.6390416761174915,5.068801512015088,4.590735991791374,3.3566768163473437,5.255096947696279,3.7298907922798175,3.4462717964230563,3.088791678411621,3.708830712660829,3.5223624819410584
2020-07-21,4.546382512347105,4.386137379448148,4.502174442715865,5.335409121351286,6.096454991551321,3.3423378272375075,4.04305126783455,5.3969138082652535,5.418898134205463,5.055701102915843,3.3281564954840777,4.5043663977691795,5.185316654795577,3.0722048081764264,5.6354679531857235,3.451464800720393,7.43264956421854,6.2416154603616905,3.902528998208403,5.258900656405397,3.757579720947363,4.817060285416743,6.336259186045433,4.194031128741182,3.6170419192752132,4.054973391176705,3.554734251843797,5.709766224900255,5.242501354291009,3.699919061829169,4.0077423838368365,4.295885496869481,5.132051046357144,4.759391860260865,3.4913984433653114,4.2105472346362065,4.046216000510845,3.140257032247226,1.6478750769812032,5.019269078408146,4.880820479734204,3.534942342737044,4.1407936393113065,3.2326250920248865,4.349768852349939,4.348110514694767,5.236709118276892,5.449559550080556,4.940737821337615,4.569631552837973,3.9910300912055785,5.66538421778936,5.390820570929561,4.866947401673756,4.465069410580738,3.3165001639838994,2.4040482245895785,3.702742232678029,5.4274890267203455,5.049066836103906,5.791637323812514,4.891489445160761,5.70064064241064,5.148295508469366,3.870152452762021,4.435694327146059,3.4822906331370698,5.482433081614832,4.689316751906723,3.323322234198444,4.165657754682162,3.7976258784468158,5.29831927389485,4.112182699157522,6.1946094643691145,4.524709681699116,2.3316162908491322,3.9518132667227968,4.752039235346553,3.3206130469528907,4.705729391228766,4.076123519712199,5.168094789926669,4.4185751983375186,4.022892412867283,4.214384029171204,3.493406263602106,3.810088992427851,3.834174125211157,2.779139110450204,4.66458924742417,5.986700255668688,4.633447540321489,4.649735580275576,4.768817236394928,5.644464137086087,5.07593541555404,4.5965494548341495,3.3852222969843027,5.245019388213929,3.7293537014095555,3.4450355139803097,3.1530250009806218,3.715350923767199,3.571712755086804
2020-07-22,4.549187811228239,4.389212818741689,4.522338405697424,5.342031293561662,6.0981866079764915,3.3495086860129852,4.123741553889644,5.393301371225893,5.418242068786999,5.043396075576432,3.3264370498173674,4.506543791265188,5.191789465795374,3.0676900294816423,5.637678275359,3.4335898432856387,7.4377949061269195,6.245985160916273,3.90336464281661,5.258016101547106,3.7562257299222885,4.8251965180962895,6.33703808933523,4.195380823234855,3.6170419192752132,4.073568434952914,3.536078329637379,5.71147336416499,5.245170741906433,3.697363489037665,4.003986610469254,4.292048436480988,5.135174427196696,4.762842228984181,3.5211555357456406,4.232412561379567,4.048877308869495,3.1469476815343453,1.6715448586343193,5.017091357851221,4.90567639952846,3.537779228483959,4.133867006638099,3.2383447974920725,4.356209759336401,4.353833599520149,5.207904826412667,5.459984305855369,4.939768195942595,4.5901245520423615,3.9967794348594676,5.660538289185418,5.42544913090519,4.868748899199964,4.457800282396338,3.32715878568571,2.390705486653575,3.72949958499938,5.432965907985419,5.046280337078682,5.8409451015469,4.915609823107488,5.719224960570774,5.177102478740271,3.8795455575170865,4.44269380067951,3.4848966789838194,5.474626085657728,4.695067111605507,3.3262289523445006,4.164262451304969,3.7709266235850425,5.312588145513941,4.126875505871085,6.19403799163036,4.53028601498367,2.3422340975844276,3.9536003298493108,4.7637239127654,3.3703242528606805,4.714248179008571,4.077176663645145,5.184140311223028,4.421711661069283,4.032049548471885,4.23796373125288,3.4825642619990953,3.826537452413198,3.851738282123236,2.7761596903072747,4.688754307379096,6.005549457717416,4.627272001333447,4.664903440986016,4.746802233987767,5.649694580338761,5.079957145209135,4.593857506355486,3.3758893549050693,5.257060163431397,3.727740512362188,3.4519403372122723,3.155312414093453,3.717841633828017,3.548144992142747
2020-07-23,4.502603124890875,4.392584809504252,4.52860685628163,5.333386934455845,6.067823532587504,3.3395179286710204,4.0871520865176185,5.37468419804127,5.413831663026132,5.006141876396581,3.3131884147380077,4.507889613781407,5.173037532825967,3.077106861074795,5.629454000429261,3.447368083419858,7.423110739831646,6.23842070311124,3.9036988129377015,5.263984687467532,3.7643229315268805,4.822418771572131,6.3286864721250335,4.196594394497426,3.6151609453879576,4.094426574850184,3.5255067900707955,5.704780206736442,5.230585764668558,3.7081790132373618,4.004143455455446,4.291719169650873,5.153461102630915,4.755167770347079,3.486273482077108,4.230509362079803,4.049658864880069,3.13793066135712,1.6918059654488875,5.022225380204981,4.90223887501124,3.534942342737044,4.124776400786751,3.255684209214005,4.321960620549561,4.322613506047641,5.193333078800105,5.454842174666456,4.93405999398218,4.579655637648081,3.9860754939957377,5.643904949182063,5.433066793770027,4.866078524259752,4.460734305228895,3.3260120381269176,2.363474374896353,3.725365677249313,5.435571004304465,5.0259340308429605,5.824416711592992,4.901781201989301,5.708090199673279,5.1717006632108955,3.8855768975160054,4.433212372656417,3.4885340040630877,5.4438491621276,4.698714892245096,3.332017776934404,4.155081314891649,3.7622617233924007,5.268119176134061,4.128834908589212,6.168731657038466,4.524099518656984,2.312185751379919,3.9491268902827485,4.771560392777887,3.366426753802863,4.720697260908791,4.081116265802937,5.15825038116151,4.3895589255921905,4.024002012367157,4.21332294617133,3.492554668515227,3.822585675719966,3.8480238082303115,2.7675018413759784,4.682318200452175,6.0048675192248355,4.623261317964557,4.613845746857553,4.720115676397602,5.637425786898028,5.055236758507519,4.588960335519436,3.3898563060344333,5.249842891221617,3.729532550094292,3.443301695748977,3.1587337936098288,3.7101228489763214,3.550206605807885
2020-07-24,4.500122765570817,4.383155624352911,4.50988464882447,5.329510781670229,6.064505873501199,3.3217905036986246,4.239886889499486,5.357651231523362,5.407725245450351,5.01360086314942,3.3005799136651843,4.493931185884489,5.157675005132057,3.069334118490532,5.607014516908054,3.4473679620007136,7.426549290379982,6.225310751987803,3.8693766377134433,5.270535007499706,3.756419358629152,4.829567345738045,6.331003452944322,4.197805692180613,3.6351988253587306,4.089214070926662,3.521047822671735,5.703768131291617,5.23032064289736,3.6866453624882656,3.997064116148705,4.282002603318996,5.133434662078259,4.750840819574232,3.481357457748231,4.216119006724841,4.039452291400216,3.1159517105175984,1.6773757435121182,5.016485458038886,4.896527366456709,3.5090413451277587,4.099037879603969,3.2364419616469378,4.319443699317562,4.3169671445221836,5.185669040564444,5.460512169731048,4.905690409282865,4.567487522827722,3.8088402585823036,5.634011974583114,5.41658917433742,4.856069251596423,4.453637155616357,3.3208351314479616,2.346773059336256,3.7297060567778706,5.427775686644824,5.01359964606027,5.820772462281486,4.905392094690289,5.6984276889004,5.17760584318158,3.8853946654690787,4.43093150566058,3.479677425389827,5.435690447653378,4.7021617185274565,3.3384900685813905,4.142706480352282,3.754717584533119,5.26197846500156,4.126269366820263,6.174723190130772,4.525421027042131,2.3185577319885415,3.9471521663203086,4.7640915072852525,3.3467074873922504,4.719110806696374,4.088298527851401,5.150744987932742,4.3808220864072185,4.007227200390424,4.218880776375961,3.4848569162503837,3.8097243055998864,3.827919909712286,2.756403093265381,4.693372520427255,5.994829165460208,4.627272001333447,4.548247043972658,4.724677604809111,5.630204194297378,5.061616350004489,4.590735991791374,3.393927610044062,5.2382273508353565,3.7472791150338707,3.4475066737608433,3.155312414093453,3.7070798223946344,3.5440088598458477
